Date,Open,High,Low,Close,Adj Close,Volume
2020-04-09,98.000000,100.400002,97.050003,98.300003,98.300003,18745432
2020-04-13,98.000000,98.449997,88.500000,93.849998,93.849998,22426783
2020-04-15,94.099998,97.750000,90.500000,91.750000,91.750000,24766949
2020-04-16,90.199997,110.099998,90.150002,106.300003,106.300003,54680160
2020-04-17,116.900002,127.550003,111.550003,125.349998,125.349998,82090865
2020-04-20,131.750000,132.899994,123.099998,129.000000,129.000000,51746714
2020-04-21,120.000000,122.349998,113.150002,115.900002,115.900002,37693350
2020-04-22,114.000000,117.500000,108.000000,115.550003,115.550003,35036210
2020-04-23,115.550003,121.000000,115.000000,119.449997,119.449997,22783429
2020-04-24,114.000000,118.400002,111.000000,112.949997,112.949997,19607836
2020-04-27,115.000000,120.500000,114.000000,115.650002,115.650002,21438379
2020-04-28,117.650002,120.000000,114.599998,117.099998,117.099998,21751561
2020-04-29,119.000000,132.399994,117.349998,126.900002,126.900002,67869631
2020-04-30,130.699997,134.899994,127.400002,132.699997,132.699997,30142557
2020-05-04,124.500000,126.400002,119.550003,121.400002,121.400002,13678814
2020-05-05,125.000000,127.199997,117.400002,118.900002,118.900002,19456602
2020-05-06,120.050003,126.000000,118.300003,123.550003,123.550003,18027087
2020-05-07,125.000000,130.899994,123.550003,125.199997,125.199997,17034782
2020-05-08,128.899994,131.500000,121.699997,123.250000,123.250000,17378946
2020-05-11,126.000000,126.400002,121.150002,122.500000,122.500000,12569442
2020-05-12,120.000000,120.300003,112.699997,119.000000,119.000000,21614680
2020-05-13,129.000000,139.649994,125.349998,136.600006,136.600006,53862950
2020-05-14,135.000000,144.899994,130.050003,131.399994,131.399994,52919773
2020-05-15,132.000000,134.800003,128.550003,133.449997,133.449997,26315670
2020-05-18,131.899994,131.899994,117.199997,118.949997,118.949997,28889473
2020-05-19,122.050003,124.599998,117.800003,120.400002,120.400002,23666457
2020-05-20,119.400002,125.800003,118.550003,124.250000,124.250000,19926250
2020-05-21,124.250000,126.650002,120.449997,121.800003,121.800003,12315699
2020-05-22,121.349998,123.650002,114.500000,115.650002,115.650002,20932974
2020-05-26,117.449997,118.449997,113.800003,115.199997,115.199997,10996639
2020-05-27,115.900002,123.949997,115.650002,121.800003,121.800003,24535758
2020-05-28,123.000000,126.000000,119.650002,120.800003,120.800003,14826054
2020-05-29,118.500000,122.750000,117.199997,122.150002,122.150002,15758658
2020-06-01,125.000000,131.000000,124.000000,127.949997,127.949997,19158784
2020-06-02,128.399994,130.300003,124.699997,126.800003,126.800003,12604346
2020-06-03,129.000000,135.649994,128.000000,128.649994,128.649994,18711284
2020-06-04,128.649994,133.500000,125.800003,127.750000,127.750000,15509750
2020-06-05,129.699997,131.899994,127.000000,130.250000,130.250000,15448434
2020-06-08,134.800003,152.300003,132.800003,149.000000,149.000000,54828918
2020-06-09,155.000000,156.600006,150.000000,155.350006,155.350006,24319716
